feature,fscore
b_8685312,0.002257336343115124
b_8685501,0.002257336343115124
b_43708686,0.002257336343115124
b_43708682,0.002257336343115124
b_1816779,0.002257336343115124
b_43708692,0.002257336343115124
b_49869969,0.006772009029345372
b_28358758,0.006772009029345372
b_30137975,0.011286681715575621
b_14293852,0.011286681715575621
b_8685321,0.01805869074492099
Eating,0.022573363431151242
wifi2,0.029345372460496615
latitude,0.03611738148984198
b_8685287,0.06320541760722348
wifi3,0.0654627539503386
longitude,0.06772009029345373
b_8685311,0.06997742663656885
Manhattan,0.09255079006772009
wifi1,0.09706546275395034
Euler,0.10609480812641084
super_magic_feature,0.12641083521444696
b_14293851,0.15575620767494355
